from_label,to_label,from_mhz,to_mhz,ms
Z21,H11,2455.000,912.500,1.240
Z21,H12,2455.000,913.500,1.216
Z21,H13,2455.000,914.500,1.355
Z21,H14,2455.000,915.500,1.286
Z21,H15,2455.000,916.500,1.299
Z21,H16,2455.000,917.500,1.266
Z21,H17,2455.000,918.500,1.415
Z21,H18,2455.000,919.500,1.260
Z21,H19,2455.000,920.500,1.238
Z21,H20,2455.000,921.500,1.376
Z21,H21,2455.000,922.500,1.250
Z21,H22,2455.000,923.500,1.416
Z21,H23,2455.000,924.500,1.225
Z21,H24,2455.000,925.500,1.331
Z21,H25,2455.000,926.500,1.250
Z21,H26,2455.000,927.500,1.301
Z22,Z11,2460.000,2405.000,1.356
Z22,Z12,2460.000,2410.000,1.310
Z22,Z13,2460.000,2415.000,1.381
Z22,Z14,2460.000,2420.000,1.211
Z22,Z15,2460.000,2425.000,1.265
Z22,Z16,2460.000,2430.000,1.324
Z22,Z17,2460.000,2435.000,1.191
Z22,Z18,2460.000,2440.000,1.308
Z22,Z19,2460.000,2445.000,1.270
Z22,Z20,2460.000,2450.000,1.341
Z22,Z21,2460.000,2455.000,1.297
Z22,Z22,2460.000,2460.000,0.324
Z22,Z23,2460.000,2465.000,1.276
Z22,Z24,2460.000,2470.000,1.213
Z22,Z25,2460.000,2475.000,1.255
Z22,Z26,2460.000,2480.000,1.270
Z22,H1,2460.000,902.500,1.251
Z22,H2,2460.000,903.500,1.270
Z22,H3,2460.000,904.500,1.327
Z22,H4,2460.000,905.500,1.321
Z22,H5,2460.000,906.500,1.317
Z22,H6,2460.000,907.500,1.213
Z22,H7,2460.000,908.500,1.323
Z22,H8,2460.000,909.500,1.297
Z22,H9,2460.000,910.500,1.369
Z22,H10,2460.000,911.500,1.326
Z22,H11,2460.000,912.500,1.360
Z22,H12,2460.000,913.500,1.282
Z22,H13,2460.000,914.500,1.249
Z22,H14,2460.000,915.500,1.278
Z22,H15,2460.000,916.500,1.276
Z22,H16,2460.000,917.500,1.265
Z22,H17,2460.000,918.500,1.448
Z22,H18,2460.000,919.500,1.323
Z22,H19,2460.000,920.500,1.264
Z22,H20,2460.000,921.500,1.302
Z22,H21,2460.000,922.500,1.282
Z22,H22,2460.000,923.500,1.286
Z22,H23,2460.000,924.500,1.236
Z22,H24,2460.000,925.500,1.297
Z22,H25,2460.000,926.500,1.392
Z22,H26,2460.000,927.500,1.377
Z23,Z11,2465.000,2405.000,1.321
Z23,Z12,2465.000,2410.000,1.343
Z23,Z13,2465.000,2415.000,1.407
Z23,Z14,2465.000,2420.000,1.376
Z23,Z15,2465.000,2425.000,1.352
Z23,Z16,2465.000,2430.000,1.257
Z23,Z17,2465.000,2435.000,1.266
Z23,Z18,2465.000,2440.000,1.246
Z23,Z19,2465.000,2445.000,1.257
Z23,Z20,2465.000,2450.000,1.303
Z23,Z21,2465.000,2455.000,1.313
Z23,Z22,2465.000,2460.000,1.183
Z23,Z23,2465.000,2465.000,0.361
Z23,Z24,2465.000,2470.000,1.180
Z23,Z25,2465.000,2475.000,1.181
Z23,Z26,2465.000,2480.000,1.275
Z23,H1,2465.000,902.500,1.197
Z23,H2,2465.000,903.500,1.216
Z23,H3,2465.000,904.500,1.313
Z23,H4,2465.000,905.500,1.290
Z23,H5,2465.000,906.500,1.257
Z23,H6,2465.000,907.500,1.401
Z23,H7,2465.000,908.500,1.214
Z23,H8,2465.000,909.500,1.386
Z23,H9,2465.000,910.500,1.230
Z23,H10,2465.000,911.500,1.274
Z23,H11,2465.000,912.500,1.246
Z23,H12,2465.000,913.500,1.312
Z23,H13,2465.000,914.500,1.295
Z23,H14,2465.000,915.500,1.226
Z23,H15,2465.000,916.500,1.212
Z23,H16,2465.000,917.500,1.298
Z23,H17,2465.000,918.500,1.282
Z23,H18,2465.000,919.500,1.254
Z23,H19,2465.000,920.500,1.281
Z23,H20,2465.000,921.500,1.183
Z23,H21,2465.000,922.500,1.229
Z23,H22,2465.000,923.500,1.193
Z23,H23,2465.000,924.500,1.215
Z23,H24,2465.000,925.500,1.260
Z23,H25,2465.000,926.500,1.247
Z23,H26,2465.000,927.500,1.292
Z24,Z11,2470.000,2405.000,1.452
Z24,Z12,2470.000,2410.000,1.215
Z24,Z13,2470.000,2415.000,1.287
Z24,Z14,2470.000,2420.000,1.219
Z24,Z15,2470.000,2425.000,1.243
Z24,Z16,2470.000,2430.000,1.248
Z24,Z17,2470.000,2435.000,1.259
Z24,Z18,2470.000,2440.000,1.225
Z24,Z19,2470.000,2445.000,1.161
Z24,Z20,2470.000,2450.000,1.248
Z24,Z21,2470.000,2455.000,1.218
Z24,Z22,2470.000,2460.000,1.180
Z24,Z23,2470.000,2465.000,1.166
Z24,Z24,2470.000,2470.000,0.295
Z24,Z25,2470.000,2475.000,1.178
Z24,Z26,2470.000,2480.000,1.158
Z24,H1,2470.000,902.500,1.152
Z24,H2,2470.000,903.500,1.156
Z24,H3,2470.000,904.500,1.158
Z24,H4,2470.000,905.500,1.160
Z24,H5,2470.000,906.500,1.180
Z24,H6,2470.000,907.500,1.215
Z24,H7,2470.000,908.500,1.239
Z24,H8,2470.000,909.500,1.302
Z24,H9,2470.000,910.500,1.304
Z24,H10,2470.000,911.500,1.319
Z24,H11,2470.000,912.500,1.438
Z24,H12,2470.000,913.500,1.325
Z24,H13,2470.000,914.500,1.182
Z24,H14,2470.000,915.500,1.221
Z24,H15,2470.000,916.500,1.259
Z24,H16,2470.000,917.500,1.228
Z24,H17,2470.000,918.500,1.265
Z24,H18,2470.000,919.500,1.292
Z24,H19,2470.000,920.500,1.342
Z24,H20,2470.000,921.500,1.279
Z24,H21,2470.000,922.500,1.346
Z24,H22,2470.000,923.500,1.208
Z24,H23,2470.000,924.500,1.245
Z24,H24,2470.000,925.500,1.279
Z24,H25,2470.000,926.500,1.347
Z24,H26,2470.000,927.500,1.302
Z25,Z11,2475.000,2405.000,1.262
Z25,Z12,2475.000,2410.000,1.222
Z25,Z13,2475.000,2415.000,1.266
Z25,Z14,2475.000,2420.000,1.305
Z25,Z15,2475.000,2425.000,1.273
Z25,Z16,2475.000,2430.000,1.231
Z25,Z17,2475.000,2435.000,1.352
Z25,Z18,2475.000,2440.000,1.206
Z25,Z19,2475.000,2445.000,1.203
Z25,Z20,2475.000,2450.000,1.261
Z25,Z21,2475.000,2455.000,1.245
Z25,Z22,2475.000,2460.000,1.236
Z25,Z23,2475.000,2465.000,1.167
Z25,Z24,2475.000,2470.000,1.170
Z25,Z25,2475.000,2475.000,0.307
Z25,Z26,2475.000,2480.000,1.181
Z25,H1,2475.000,902.500,1.176
Z25,H2,2475.000,903.500,1.172
Z25,H3,2475.000,904.500,1.169
Z25,H4,2475.000,905.500,1.182
Z25,H5,2475.000,906.500,1.263
Z25,H6,2475.000,907.500,1.303
Z25,H7,2475.000,908.500,1.369
Z25,H8,2475.000,909.500,1.228
Z25,H9,2475.000,910.500,1.224
Z25,H10,2475.000,911.500,1.217
Z25,H11,2475.000,912.500,1.218
Z25,H12,2475.000,913.500,1.232
Z25,H13,2475.000,914.500,1.281
Z25,H14,2475.000,915.500,1.254
Z25,H15,2475.000,916.500,1.470
