method,iteration,from_hz,to_hz,time_us
soapy,509,5448195000,1449375000,115435.9
soapy,510,1449375000,756411000,116931.2
soapy,511,756411000,3112595000,118373.5
soapy,512,3112595000,71544000,116063.1
soapy,513,71544000,2445400000,116893.2
soapy,514,2445400000,2770149000,10558.4
soapy,515,2770149000,1449375000,10619.9
soapy,516,1449375000,2067061000,10546.3
soapy,517,2067061000,2591995000,10849.5
soapy,518,2591995000,1817426000,10840.5
soapy,519,1817426000,4498013000,116209.4
soapy,520,4498013000,5736705000,10355.8
soapy,521,5736705000,2036035000,117562.8
soapy,522,2036035000,930175000,116424.0
soapy,523,930175000,991725000,10687.9
soapy,524,991725000,3932533000,117440.7
soapy,525,3932533000,4973067000,114053.8
soapy,526,4973067000,3554554000,116280.4
soapy,527,3554554000,1682451000,10459.4
soapy,528,1682451000,581262000,121621.9
soapy,529,581262000,1715839000,117101.3
soapy,530,1715839000,2145493000,10714.2
soapy,531,2145493000,1817426000,10373.6
soapy,532,1817426000,5800861000,116433.5
soapy,533,5800861000,1003689000,115162.5
soapy,534,1003689000,2630112000,114211.1
soapy,535,2630112000,536937000,114161.4
soapy,536,536937000,5156141000,116518.2
soapy,537,5156141000,3384727000,116122.8
soapy,538,3384727000,2006090000,10788.7
soapy,539,2006090000,2316856000,10874.0
soapy,540,2316856000,1817426000,10803.2
soapy,541,1817426000,2318412000,10580.1
soapy,542,2318412000,4840961000,117601.4
soapy,543,4840961000,4060881000,10555.0
soapy,544,4060881000,5266011000,10604.2
soapy,545,5266011000,5789482000,10848.5
soapy,546,5789482000,1817426000,116420.5
soapy,547,1817426000,5156141000,115272.4
soapy,548,5156141000,715408000,116571.3
soapy,549,715408000,891714000,10827.5
soapy,550,891714000,3984159000,115157.5
soapy,551,3984159000,4630805000,117632.6
soapy,552,4630805000,3984159000,116340.4
soapy,553,3984159000,3826850000,10292.9
soapy,554,3826850000,3338818000,10195.5
soapy,555,3338818000,4934155000,116192.6
soapy,556,4934155000,740744000,116654.0
soapy,557,740744000,4841046000,115114.9
soapy,558,4841046000,5181065000,11099.5
soapy,559,5181065000,1573786000,116752.7
soapy,560,1573786000,5047958000,115652.3
soapy,561,5047958000,4211299000,10195.5
soapy,562,4211299000,885767000,116122.3
soapy,563,885767000,3877836000,117986.0
soapy,564,3877836000,2121770000,10685.7
soapy,565,2121770000,1768286000,10423.8
soapy,566,1768286000,2121770000,10769.5
soapy,567,2121770000,4211299000,116247.9
soapy,568,4211299000,5004153000,10669.1
soapy,569,5004153000,2838388000,116292.7
soapy,570,2838388000,4934155000,115518.3
soapy,571,4934155000,4082903000,10767.2
soapy,572,4082903000,4793555000,10589.6
soapy,573,4793555000,3336170000,118164.0
soapy,574,3336170000,3255105000,10833.4
soapy,575,3255105000,3143597000,10730.3
soapy,576,3143597000,715408000,116240.9
soapy,577,715408000,647129000,10759.7
soapy,578,647129000,2648007000,116982.3
soapy,579,2648007000,3707647000,11051.6
soapy,580,3707647000,5754926000,115323.5
soapy,581,5754926000,1206774000,117724.2
soapy,582,1206774000,3929173000,114801.0
soapy,583,3929173000,4004598000,114228.0
soapy,584,4004598000,2639408000,115687.6
soapy,585,2639408000,5266011000,116446.4
soapy,586,5266011000,683999000,114839.1
soapy,587,683999000,3143597000,115206.4
soapy,588,3143597000,3191036000,10626.7
soapy,589,3191036000,5754926000,119531.2
soapy,590,5754926000,5004153000,11132.4
soapy,591,5004153000,5699496000,10845.7
soapy,592,5699496000,4841046000,10886.3
soapy,593,4841046000,4082903000,10710.1
soapy,594,4082903000,3278689000,116806.2
soapy,595,3278689000,1500165000,10660.3
soapy,596,1500165000,3225462000,10519.6
soapy,597,3225462000,4848110000,116496.3
soapy,598,4848110000,631861000,114886.3
soapy,599,631861000,5156141000,115183.6
soapy,600,5156141000,1674973000,113991.3
soapy,601,1674973000,904833000,114828.2
soapy,602,904833000,385493000,10179.1
soapy,603,385493000,2316856000,114393.6
soapy,604,2316856000,4383797000,115540.9
soapy,605,4383797000,5328975000,10296.4
soapy,606,5328975000,4211299000,10230.0
soapy,607,4211299000,4841046000,10314.0
soapy,608,4841046000,2591995000,115103.7
soapy,609,2591995000,3792998000,10496.1
soapy,610,3792998000,4630805000,116406.4
soapy,611,4630805000,2648007000,115495.9
soapy,612,2648007000,570134000,115679.6
soapy,613,570134000,5002199000,118907.3
soapy,614,5002199000,170149000,115861.4
soapy,615,170149000,5266011000,116561.8
soapy,616,5266011000,3881974000,115006.6
soapy,617,3881974000,1620451000,10414.1
soapy,618,1620451000,187049000,115145.4
soapy,619,187049000,3255105000,114854.3
soapy,620,3255105000,3554554000,10580.0
soapy,621,3554554000,1768286000,10730.8
soapy,622,1768286000,1741726000,10601.1
soapy,623,1741726000,246169000,115391.1
soapy,624,246169000,2769248000,115631.6
soapy,625,2769248000,4126545000,116996.4
soapy,626,4126545000,5047958000,10706.7
soapy,627,5047958000,4840961000,10715.1
soapy,628,4840961000,3502457000,114909.8
soapy,629,3502457000,3826850000,10815.9
soapy,630,3826850000,4633769000,115900.6
soapy,631,4633769000,4126545000,10645.0
soapy,632,4126545000,4055700000,10564.4
soapy,633,4055700000,3826850000,115052.7
soapy,634,3826850000,859700000,114714.1
soapy,635,859700000,4213653000,114473.8
soapy,636,4213653000,3525461000,115798.4
soapy,637,3525461000,3255105000,10701.7
soapy,638,3255105000,647129000,116193.4
soapy,639,647129000,2445400000,117055.3
soapy,640,2445400000,2890617000,10778.3
soapy,641,2890617000,5765894000,117484.1
soapy,642,5765894000,2930889000,116076.2
soapy,643,2930889000,3812745000,10561.5
soapy,644,3812745000,3826850000,10573.8
soapy,645,3826850000,3003511000,10517.7
soapy,646,3003511000,2769248000,10897.7
soapy,647,2769248000,991104000,115479.9
soapy,648,991104000,3299593000,117172.2
soapy,649,3299593000,2953923000,10604.4
soapy,650,2953923000,385493000,115728.0
soapy,651,385493000,4375961000,116491.8
soapy,652,4375961000,4267766000,10561.8
soapy,653,4267766000,4113210000,10396.7
soapy,654,4113210000,1500165000,116492.0
soapy,655,1500165000,3534217000,10943.2
soapy,656,3534217000,5448195000,115950.4
soapy,657,5448195000,3336170000,116008.9
soapy,658,3336170000,2667158000,10376.6
soapy,659,2667158000,1817426000,10190.7
soapy,660,1817426000,3191036000,10239.7
soapy,661,3191036000,3525461000,10274.6
soapy,662,3525461000,4082903000,113607.1
soapy,663,4082903000,385493000,114660.1
soapy,664,385493000,2443509000,114325.0
soapy,665,2443509000,586810000,114334.9
soapy,666,586810000,187049000,10453.1
soapy,667,187049000,2316856000,115642.2
soapy,668,2316856000,2036035000,10556.1
soapy,669,2036035000,2121770000,10684.7
soapy,670,2121770000,3309601000,10490.0
soapy,671,3309601000,265173000,114228.3
soapy,672,265173000,1573786000,113790.7
soapy,673,1573786000,3255105000,10492.1
