param,from,to,run,time_ms
freq,700,600,3,12.2549
freq,700,600,4,14.4847
freq,700,700,0,11.9612
freq,700,700,1,9.3389
freq,700,700,2,9.3552
freq,700,700,3,9.7728
freq,700,700,4,9.9921
freq,700,800,0,11.3820
freq,700,800,1,12.8872
freq,700,800,2,14.8501
freq,700,800,3,12.1260
freq,700,800,4,12.2433
freq,700,900,0,13.1576
freq,700,900,1,11.7286
freq,700,900,2,11.5048
freq,700,900,3,13.8424
freq,700,900,4,12.6236
freq,700,1000,0,12.3261
freq,700,1000,1,12.3657
freq,700,1000,2,12.3324
freq,700,1000,3,12.3849
freq,700,1000,4,14.2672
freq,800,100,0,12.3340
freq,800,100,1,14.3860
freq,800,100,2,15.2224
freq,800,100,3,11.0269
freq,800,100,4,11.3293
freq,800,200,0,12.3200
freq,800,200,1,11.7989
freq,800,200,2,11.4602
freq,800,200,3,12.2428
freq,800,200,4,11.5297
freq,800,300,0,16.3380
freq,800,300,1,11.4661
freq,800,300,2,12.6549
freq,800,300,3,12.3846
freq,800,300,4,14.6223
freq,800,400,0,14.9903
freq,800,400,1,13.1543
freq,800,400,2,12.4107
freq,800,400,3,12.7979
freq,800,400,4,14.3089
freq,800,500,0,12.1173
freq,800,500,1,14.0448
freq,800,500,2,12.3416
freq,800,500,3,13.1798
freq,800,500,4,12.7976
freq,800,600,0,13.0555
freq,800,600,1,12.1797
freq,800,600,2,14.3384
freq,800,600,3,12.5078
freq,800,600,4,14.6100
freq,800,700,0,13.6435
freq,800,700,1,15.5247
freq,800,700,2,12.4704
freq,800,700,3,15.0812
freq,800,700,4,15.3211
freq,800,800,0,0.7103
freq,800,800,1,0.7645
freq,800,800,2,0.7518
freq,800,800,3,0.7710
freq,800,800,4,1.1340
freq,800,900,0,15.8695
freq,800,900,1,12.1402
freq,800,900,2,11.9988
freq,800,900,3,12.5895
freq,800,900,4,12.4117
freq,800,1000,0,12.4251
freq,800,1000,1,12.3269
freq,800,1000,2,16.1513
freq,800,1000,3,12.5166
freq,800,1000,4,12.7069
freq,900,100,0,12.5591
freq,900,100,1,14.3348
freq,900,100,2,11.5371
freq,900,100,3,11.7760
freq,900,100,4,12.3760
freq,900,200,0,12.8269
freq,900,200,1,12.2513
freq,900,200,2,13.9460
freq,900,200,3,12.2084
freq,900,200,4,13.6403
freq,900,300,0,11.8154
freq,900,300,1,11.8576
freq,900,300,2,11.7375
freq,900,300,3,11.6983
freq,900,300,4,12.4606
freq,900,400,0,13.3283
freq,900,400,1,14.5942
freq,900,400,2,14.5859
freq,900,400,3,14.5280
freq,900,400,4,12.3349
freq,900,500,0,12.1095
freq,900,500,1,12.2510
freq,900,500,2,11.8805
freq,900,500,3,11.5692
freq,900,500,4,11.7758
freq,900,600,0,11.5145
freq,900,600,1,12.3938
freq,900,600,2,11.0994
freq,900,600,3,13.6928
freq,900,600,4,12.9391
freq,900,700,0,15.1341
freq,900,700,1,12.2012
freq,900,700,2,15.2714
freq,900,700,3,12.2658
freq,900,700,4,12.1814
freq,900,800,0,14.6656
freq,900,800,1,14.5554
freq,900,800,2,15.6907
freq,900,800,3,12.2662
freq,900,800,4,14.2207
freq,900,900,0,0.8558
freq,900,900,1,0.9127
freq,900,900,2,0.9022
freq,900,900,3,0.7699
freq,900,900,4,0.7522
freq,900,1000,0,13.2058
freq,900,1000,1,15.1035
freq,900,1000,2,15.7368
freq,900,1000,3,15.3571
freq,900,1000,4,13.9623
freq,1000,100,0,14.3657
freq,1000,100,1,13.6071
freq,1000,100,2,12.4626
freq,1000,100,3,14.3646
freq,1000,100,4,12.0486
freq,1000,200,0,13.8249
freq,1000,200,1,14.8212
freq,1000,200,2,12.1733
freq,1000,200,3,12.7301
freq,1000,200,4,13.5064
freq,1000,300,0,14.3803
freq,1000,300,1,12.2712
freq,1000,300,2,13.5241
freq,1000,300,3,14.5627
freq,1000,300,4,17.0096
freq,1000,400,0,12.3650
freq,1000,400,1,16.4631
freq,1000,400,2,12.3427
freq,1000,400,3,11.2546
freq,1000,400,4,11.4623
freq,1000,500,0,13.0146
freq,1000,500,1,12.6200
freq,1000,500,2,16.1430
freq,1000,500,3,12.0205
freq,1000,500,4,12.2880
freq,1000,600,0,15.4690
freq,1000,600,1,15.3816
freq,1000,600,2,12.1220
freq,1000,600,3,15.6541
freq,1000,600,4,15.2056
