method,test,from,to,run,time_ms
set_frequency,grid,600,300,2,13.7701
set_frequency,grid,600,300,3,11.6601
set_frequency,grid,600,300,4,11.6100
set_frequency,grid,600,400,0,11.6238
set_frequency,grid,600,400,1,11.3092
set_frequency,grid,600,400,2,11.8261
set_frequency,grid,600,400,3,11.6704
set_frequency,grid,600,400,4,11.3913
set_frequency,grid,600,500,0,11.3982
set_frequency,grid,600,500,1,11.0935
set_frequency,grid,600,500,2,11.5589
set_frequency,grid,600,500,3,13.4192
set_frequency,grid,600,500,4,11.9508
set_frequency,grid,600,600,0,0.6419
set_frequency,grid,600,600,1,0.7350
set_frequency,grid,600,600,2,0.7029
set_frequency,grid,600,600,3,0.6281
set_frequency,grid,600,600,4,0.5904
set_frequency,grid,600,700,0,11.6438
set_frequency,grid,600,700,1,11.9613
set_frequency,grid,600,700,2,11.4701
set_frequency,grid,600,700,3,11.3940
set_frequency,grid,600,700,4,11.2896
set_frequency,grid,600,800,0,11.4466
set_frequency,grid,600,800,1,11.9247
set_frequency,grid,600,800,2,11.4520
set_frequency,grid,600,800,3,11.2698
set_frequency,grid,600,800,4,11.1108
set_frequency,grid,600,900,0,11.1846
set_frequency,grid,600,900,1,11.6836
set_frequency,grid,600,900,2,12.3634
set_frequency,grid,600,900,3,10.8586
set_frequency,grid,600,900,4,11.5309
set_frequency,grid,600,1000,0,11.8328
set_frequency,grid,600,1000,1,11.3450
set_frequency,grid,600,1000,2,11.5140
set_frequency,grid,600,1000,3,11.0889
set_frequency,grid,600,1000,4,11.5014
set_frequency,grid,700,100,0,11.2283
set_frequency,grid,700,100,1,11.6724
set_frequency,grid,700,100,2,11.7125
set_frequency,grid,700,100,3,12.0630
set_frequency,grid,700,100,4,14.8150
set_frequency,grid,700,200,0,13.1707
set_frequency,grid,700,200,1,10.6412
set_frequency,grid,700,200,2,11.4898
set_frequency,grid,700,200,3,11.5510
set_frequency,grid,700,200,4,11.4266
set_frequency,grid,700,300,0,11.9980
set_frequency,grid,700,300,1,12.5905
set_frequency,grid,700,300,2,11.4317
set_frequency,grid,700,300,3,13.7198
set_frequency,grid,700,300,4,11.4019
set_frequency,grid,700,400,0,11.1238
set_frequency,grid,700,400,1,11.3231
set_frequency,grid,700,400,2,10.9721
set_frequency,grid,700,400,3,11.6949
set_frequency,grid,700,400,4,14.6524
set_frequency,grid,700,500,0,11.8882
set_frequency,grid,700,500,1,10.9003
set_frequency,grid,700,500,2,11.4537
set_frequency,grid,700,500,3,11.4250
set_frequency,grid,700,500,4,11.4555
set_frequency,grid,700,600,0,11.4940
set_frequency,grid,700,600,1,11.7998
set_frequency,grid,700,600,2,11.4386
set_frequency,grid,700,600,3,11.8507
set_frequency,grid,700,600,4,11.1577
set_frequency,grid,700,700,0,11.1465
set_frequency,grid,700,700,1,11.2005
set_frequency,grid,700,700,2,11.1850
set_frequency,grid,700,700,3,10.7715
set_frequency,grid,700,700,4,11.0102
set_frequency,grid,700,800,0,10.9550
set_frequency,grid,700,800,1,11.3988
set_frequency,grid,700,800,2,16.2459
set_frequency,grid,700,800,3,11.6475
set_frequency,grid,700,800,4,11.7543
set_frequency,grid,700,900,0,11.6443
set_frequency,grid,700,900,1,11.7685
set_frequency,grid,700,900,2,11.8209
set_frequency,grid,700,900,3,14.6625
set_frequency,grid,700,900,4,11.7554
set_frequency,grid,700,1000,0,11.7576
set_frequency,grid,700,1000,1,11.3937
set_frequency,grid,700,1000,2,14.8899
set_frequency,grid,700,1000,3,11.8349
set_frequency,grid,700,1000,4,11.7312
set_frequency,grid,800,100,0,11.7951
set_frequency,grid,800,100,1,11.3127
set_frequency,grid,800,100,2,11.6608
set_frequency,grid,800,100,3,11.4132
set_frequency,grid,800,100,4,11.5971
set_frequency,grid,800,200,0,12.0232
set_frequency,grid,800,200,1,11.9094
set_frequency,grid,800,200,2,11.7296
set_frequency,grid,800,200,3,11.7202
set_frequency,grid,800,200,4,13.8121
set_frequency,grid,800,300,0,15.2675
set_frequency,grid,800,300,1,11.7014
set_frequency,grid,800,300,2,11.8348
set_frequency,grid,800,300,3,11.8871
set_frequency,grid,800,300,4,11.7586
set_frequency,grid,800,400,0,11.2076
set_frequency,grid,800,400,1,12.6907
set_frequency,grid,800,400,2,12.0029
set_frequency,grid,800,400,3,11.8691
set_frequency,grid,800,400,4,12.0392
set_frequency,grid,800,500,0,11.8462
set_frequency,grid,800,500,1,11.9035
set_frequency,grid,800,500,2,11.7322
set_frequency,grid,800,500,3,12.0801
set_frequency,grid,800,500,4,11.9567
set_frequency,grid,800,600,0,11.8599
set_frequency,grid,800,600,1,12.1124
set_frequency,grid,800,600,2,11.8797
set_frequency,grid,800,600,3,11.7281
set_frequency,grid,800,600,4,11.6022
set_frequency,grid,800,700,0,12.0126
set_frequency,grid,800,700,1,11.3860
set_frequency,grid,800,700,2,11.9647
set_frequency,grid,800,700,3,11.9194
set_frequency,grid,800,700,4,12.1764
set_frequency,grid,800,800,0,0.7454
set_frequency,grid,800,800,1,0.7399
set_frequency,grid,800,800,2,0.6923
set_frequency,grid,800,800,3,0.7101
set_frequency,grid,800,800,4,0.7169
set_frequency,grid,800,900,0,12.0987
set_frequency,grid,800,900,1,11.9696
set_frequency,grid,800,900,2,11.9537
set_frequency,grid,800,900,3,12.0314
set_frequency,grid,800,900,4,12.0118
set_frequency,grid,800,1000,0,9.8104
set_frequency,grid,800,1000,1,9.2548
set_frequency,grid,800,1000,2,9.2751
set_frequency,grid,800,1000,3,9.2938
set_frequency,grid,800,1000,4,11.8874
set_frequency,grid,900,100,0,12.1829
set_frequency,grid,900,100,1,11.7941
set_frequency,grid,900,100,2,11.6663
set_frequency,grid,900,100,3,11.8346
set_frequency,grid,900,100,4,11.8360
set_frequency,grid,900,200,0,11.8173
set_frequency,grid,900,200,1,11.5591
set_frequency,grid,900,200,2,11.6378
set_frequency,grid,900,200,3,11.5113
set_frequency,grid,900,200,4,12.0774
set_frequency,grid,900,300,0,12.0625
set_frequency,grid,900,300,1,11.6153
set_frequency,grid,900,300,2,11.2774
set_frequency,grid,900,300,3,11.9958
set_frequency,grid,900,300,4,12.1433
set_frequency,grid,900,400,0,11.7572
set_frequency,grid,900,400,1,11.8283
set_frequency,grid,900,400,2,11.3201
set_frequency,grid,900,400,3,9.3189
set_frequency,grid,900,400,4,9.2439
set_frequency,grid,900,500,0,9.8393
set_frequency,grid,900,500,1,15.5909
set_frequency,grid,900,500,2,13.9170
set_frequency,grid,900,500,3,11.9426
set_frequency,grid,900,500,4,11.7095
set_frequency,grid,900,600,0,12.0508
set_frequency,grid,900,600,1,16.4217
set_frequency,grid,900,600,2,11.4859
set_frequency,grid,900,600,3,11.1028
set_frequency,grid,900,600,4,11.2659
set_frequency,grid,900,700,0,11.3525
set_frequency,grid,900,700,1,11.1022
set_frequency,grid,900,700,2,11.2880
set_frequency,grid,900,700,3,13.5452
set_frequency,grid,900,700,4,11.7686
set_frequency,grid,900,800,0,10.9460
set_frequency,grid,900,800,1,10.8981
set_frequency,grid,900,800,2,11.9269
set_frequency,grid,900,800,3,15.5071
set_frequency,grid,900,800,4,11.9123
set_frequency,grid,900,900,0,0.7139
set_frequency,grid,900,900,1,0.7004
set_frequency,grid,900,900,2,0.6231
set_frequency,grid,900,900,3,0.6634
