param,from,to,run,time_ms
freq,700,200,3,13.4030
freq,700,200,4,15.7603
freq,700,300,0,13.4656
freq,700,300,1,15.7384
freq,700,300,2,15.1122
freq,700,300,3,14.0209
freq,700,300,4,13.3560
freq,700,400,0,14.1536
freq,700,400,1,13.7345
freq,700,400,2,14.0274
freq,700,400,3,13.9085
freq,700,400,4,14.6023
freq,700,500,0,13.9212
freq,700,500,1,13.9418
freq,700,500,2,13.4998
freq,700,500,3,13.8406
freq,700,500,4,16.0490
freq,700,600,0,14.7539
freq,700,600,1,13.6823
freq,700,600,2,13.8922
freq,700,600,3,14.8659
freq,700,600,4,13.7100
freq,700,700,0,14.2010
freq,700,700,1,14.2316
freq,700,700,2,14.4977
freq,700,700,3,14.3905
freq,700,700,4,13.0637
freq,700,800,0,13.2710
freq,700,800,1,13.0791
freq,700,800,2,14.3768
freq,700,800,3,14.0998
freq,700,800,4,13.4676
freq,700,900,0,14.1351
freq,700,900,1,13.3263
freq,700,900,2,13.0825
freq,700,900,3,13.8792
freq,700,900,4,13.6245
freq,700,1000,0,15.7137
freq,700,1000,1,14.2479
freq,700,1000,2,14.8436
freq,700,1000,3,14.1748
freq,700,1000,4,13.7834
freq,800,100,0,15.1375
freq,800,100,1,15.9932
freq,800,100,2,13.1740
freq,800,100,3,13.1763
freq,800,100,4,14.0041
freq,800,200,0,15.2564
freq,800,200,1,13.4570
freq,800,200,2,14.2961
freq,800,200,3,13.0398
freq,800,200,4,13.4330
freq,800,300,0,13.0653
freq,800,300,1,13.6465
freq,800,300,2,12.8458
freq,800,300,3,15.2253
freq,800,300,4,14.0659
freq,800,400,0,13.1599
freq,800,400,1,13.6798
freq,800,400,2,13.6843
freq,800,400,3,13.4091
freq,800,400,4,13.9440
freq,800,500,0,13.8896
freq,800,500,1,13.9023
freq,800,500,2,13.3334
freq,800,500,3,14.4631
freq,800,500,4,14.9367
freq,800,600,0,13.0655
freq,800,600,1,12.8288
freq,800,600,2,14.6032
freq,800,600,3,14.0384
freq,800,600,4,13.7830
freq,800,700,0,14.4331
freq,800,700,1,13.9515
freq,800,700,2,14.6334
freq,800,700,3,13.3530
freq,800,700,4,13.4426
freq,800,800,0,1.4444
freq,800,800,1,1.5381
freq,800,800,2,1.4310
freq,800,800,3,1.3491
freq,800,800,4,1.4233
freq,800,900,0,13.0197
freq,800,900,1,15.5122
freq,800,900,2,10.4166
freq,800,900,3,10.3203
freq,800,900,4,10.2852
freq,800,1000,0,13.7984
freq,800,1000,1,13.2354
freq,800,1000,2,14.5660
freq,800,1000,3,13.9921
freq,800,1000,4,13.7250
freq,900,100,0,13.4141
freq,900,100,1,13.8383
freq,900,100,2,13.2678
freq,900,100,3,14.8030
freq,900,100,4,14.6650
freq,900,200,0,13.2345
freq,900,200,1,13.5604
freq,900,200,2,13.5454
freq,900,200,3,13.2136
freq,900,200,4,13.4486
freq,900,300,0,13.1443
freq,900,300,1,13.3711
freq,900,300,2,13.5770
freq,900,300,3,13.0772
freq,900,300,4,13.0236
freq,900,400,0,13.0943
freq,900,400,1,13.4860
freq,900,400,2,13.3263
freq,900,400,3,13.8322
freq,900,400,4,13.4645
freq,900,500,0,13.9952
freq,900,500,1,13.8204
freq,900,500,2,13.3974
freq,900,500,3,13.5916
freq,900,500,4,14.3254
freq,900,600,0,14.5962
freq,900,600,1,14.2178
freq,900,600,2,14.3898
freq,900,600,3,14.7069
freq,900,600,4,13.9551
freq,900,700,0,13.9481
freq,900,700,1,13.8505
freq,900,700,2,14.7590
freq,900,700,3,13.4456
freq,900,700,4,14.0613
freq,900,800,0,13.9121
freq,900,800,1,14.2167
freq,900,800,2,15.4317
freq,900,800,3,14.1062
freq,900,800,4,14.0306
freq,900,900,0,1.5068
freq,900,900,1,1.8190
freq,900,900,2,1.2253
freq,900,900,3,1.0860
freq,900,900,4,1.1125
freq,900,1000,0,10.5638
freq,900,1000,1,11.0216
freq,900,1000,2,10.7085
freq,900,1000,3,15.1879
freq,900,1000,4,13.5236
freq,1000,100,0,14.7404
freq,1000,100,1,14.9631
freq,1000,100,2,13.8118
freq,1000,100,3,16.0910
freq,1000,100,4,13.7759
freq,1000,200,0,15.5533
freq,1000,200,1,13.5579
freq,1000,200,2,14.0523
freq,1000,200,3,14.0449
freq,1000,200,4,13.3182
freq,1000,300,0,13.7328
freq,1000,300,1,14.1083
freq,1000,300,2,13.8185
freq,1000,300,3,13.5104
freq,1000,300,4,14.4395
freq,1000,400,0,13.8723
freq,1000,400,1,14.0897
freq,1000,400,2,14.9861
freq,1000,400,3,13.3318
freq,1000,400,4,12.9290
freq,1000,500,0,10.2666
freq,1000,500,1,10.2554
freq,1000,500,2,9.8143
freq,1000,500,3,13.6218
freq,1000,500,4,13.5523
freq,1000,600,0,15.4819
freq,1000,600,1,13.3773
freq,1000,600,2,13.8857
freq,1000,600,3,14.0275
freq,1000,600,4,13.9371
